GEOID10,ACCESS2_CrudePrev,BINGE_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,LPA_CrudePrev,MHLTH_CrudePrev,"1,3-butadiene",Acetaldehyde,Benzene,Carbon tetrachloride,Diesel Particulate Matter,Ethylene oxide,Formaldehyde,Napthalene,Severe_Housing_Problems,Housing_Cost_Burden,Total_households_with_internet,Unemploymen_ rate,Median_income
17031340300,15.4,10.0,8.0,7.6,19.0,18.7,43.5,14.0,0.03,0.67,0.45,0.52,1.1,0.0,0.94,0.04,125,85,632,5.0,53889
17031350400,17.7,10.1,15.5,8.1,32.4,24.7,50.8,23.1,0.03,0.67,0.44,0.52,1.06,0.0,0.93,0.04,0,85,541,22.8,31838
17031750500,8.0,13.7,10.4,6.2,13.2,13.5,28.6,12.9,0.02,0.61,0.32,0.52,0.48,0.0,0.94,0.02,280,220,1352,8.5,-
17031750400,5.3,19.2,9.2,4.1,10.8,7.9,19.5,12.4,0.02,0.61,0.32,0.52,0.46,0.0,0.94,0.02,95,20,1144,2.8,132778
17031750200,4.7,15.9,9.8,4.5,10.1,10.8,21.1,11.9,0.02,0.61,0.32,0.52,0.47,0.0,0.94,0.02,120,180,1422,11.8,103438
17031430200,10.7,12.2,12.7,6.4,19.9,17.8,36.7,17.4,0.02,0.6,0.3,0.52,0.44,0.0,0.9,0.02,165,555,2421,16.7,35906
17031660800,19.9,14.9,12.0,5.3,22.3,14.9,39.9,19.1,0.03,0.71,0.33,0.52,0.49,0.0,0.99,0.02,140,285,1723,3.9,52572
17031660900,15.3,13.1,12.8,6.3,24.4,17.3,41.6,19.7,0.02,0.71,0.33,0.52,0.48,0.0,0.98,0.02,180,400,1328,16.8,65469
17031670200,17.1,12.6,13.2,7.1,26.1,18.8,43.9,20.1,0.02,0.62,0.34,0.52,0.58,0.0,0.93,0.03,15,80,462,2.4,207875
17031670300,13.4,13.1,12.8,5.8,22.5,17.1,38.6,18.6,0.02,0.62,0.35,0.52,0.59,0.0,0.94,0.03,0,75,415,11.8,33750
17031222600,11.6,21.5,8.8,2.7,10.9,6.9,21.8,13.8,0.02,0.64,0.34,0.52,0.57,0.0,0.95,0.04,45,125,684,5.7,122500
17031230400,24.7,18.2,9.2,4.1,14.2,11.2,34.5,15.5,0.02,0.64,0.35,0.52,0.52,0.0,0.95,0.04,140,70,637,3.0,82639
17031170400,9.8,18.4,9.1,5.7,14.4,9.6,25.8,13.9,0.03,0.66,0.33,0.52,0.46,0.0,0.98,0.02,205,10,1389,6.3,115142
17031381900,9.1,14.4,11.5,4.7,16.4,13.3,30.7,15.3,0.02,0.61,0.33,0.52,0.57,0.0,0.92,0.02,75,20,465,22.7,73897
